fly.cluster	fly.chr	fly.start	fly.end	fly.strand	fly.nr_ctss	fly.dominant_ctss	fly.tpm	fly.tpm.dominant_ctss
1	chr2L	71246	71250	+	2	71247	13.8506022004784	8.4585628685967
2	chr2L	107909	107918	+	2	107918	7.71041770755284	5.39203933188174
3	chr2L	107948	107949	+	1	107949	5.77566002886195	5.77566002886195
4	chr2L	112905	112906	+	1	112906	6.92595847127459	6.92595847127459
5	chr2L	113449	113470	+	2	113470	3.09559808442614	1.93333029235985
6	chr2L	113908	113912	+	2	113909	29.1052503567673	27.5572649373172
7	chr2L	132115	132127	+	2	132116	8.85467531932318	7.69240752725689
8	chr2L	134238	134239	+	1	134239	21.0723943832629	21.0723943832629
9	chr2L	156172	156187	+	3	156173	47.4825482914509	35.179048976551
10	chr2L	160485	160504	+	2	160486	8.08822626334088	6.92595847127459
11	chr2L	190037	190041	+	2	190041	7.71224521256919	4.62447495273345
12	chr2L	200629	200633	+	2	200630	4.63651011613933	2.70317982377949
13	chr2L	200777	200778	+	1	200778	6.92595847127459	6.92595847127459
14	chr2L	200810	200814	+	2	200811	2.32453558413257	1.16226779206629
15	chr2L	203790	203791	+	1	203791	5.77566002886195	5.77566002886195
16	chr2L	295830	295850	+	2	295831	2.71025321151637	1.54798541945008
17	chr2L	296695	296699	+	2	296699	3.86544761584577	2.70317982377949
18	chr2L	297909	297910	+	1	297910	8.84153898526358	8.84153898526358
19	chr2L	419940	419949	+	2	419949	102.860576493526	100.542198117854
20	chr2L	419975	419979	+	2	419979	837.33375603613	825.813033008663
21	chr2L	420046	420063	+	3	420063	20.3763445561127	10.7555138954498
22	chr2L	420285	420289	+	2	420289	25.3347434848061	14.9619117069052
23	chr2L	420369	420381	+	2	420370	3.48064616773738	2.3183783756711
24	chr2L	540386	540387	+	1	540387	5.39203933188174	5.39203933188174
25	chr2L	559647	559651	+	2	559648	3.09559808442614	1.93333029235985
26	chr2L	560467	560468	+	1	560468	5.39203933188174	5.39203933188174
27	chr2L	569978	569982	+	2	569982	3.48064616773738	2.3183783756711
28	chr2L	572665	572666	+	1	572666	5.00831368017223	5.00831368017223
29	chr2L	811444	811445	+	1	811445	21.8356786947518	21.8356786947518
30	chr2L	816008	816009	+	1	816009	11.90325354315	11.90325354315
31	chr2L	819961	819962	+	1	819962	8.07552011196818	8.07552011196818
32	chr2L	821535	821547	+	2	821536	3.09559808442614	1.93333029235985
33	chr2L	822854	822872	+	2	822855	5.40550659663587	3.47217630427602
34	chr2L	823782	823789	+	2	823789	3.09559808442614	1.93333029235985
35	chr2L	853231	853232	+	1	853232	7.30922160650763	7.30922160650763
36	chr2L	872937	872941	+	2	872941	3.09559808442614	1.93333029235985
37	chr2L	1130385	1130389	+	2	1130389	16.8884473217536	15.7261795296873
38	chr2L	1143330	1143331	+	1	1143331	9.99009540998002	9.99009540998002
39	chr2L	1146050	1146051	+	1	1146051	6.15918280477931	6.15918280477931
40	chr2L	1147848	1147849	+	1	1147849	9.22445137207965	9.22445137207965
41	chr2L	1150753	1150787	+	4	1150787	13.4967478656264	6.54261381066948
42	chr2L	1184061	1184062	+	1	1184062	13.0505675908449	13.0505675908449
43	chr2L	1556480	1556484	+	2	1556484	3.09559808442614	1.93333029235985
44	chr2L	1569572	1569598	+	3	1569592	4.25823863096646	1.54798541945008
45	chr2L	1695464	1695468	+	2	1695465	4.6367567513422	2.3183783756711
46	chr2L	1696851	1696884	+	3	1696884	37.8937213115813	34.7981232271552
47	chr2L	1697416	1697417	+	1	1697417	6.15918280477931	6.15918280477931
48	chr2L	1697525	1697530	+	2	1697530	3.86636379512118	2.3183783756711
49	chr2L	1700569	1700570	+	1	1700570	23.7434486294322	23.7434486294322
50	chr2L	1701909	1701910	+	1	1701910	12.2857368361036	12.2857368361036
51	chr2L	1705528	1705529	+	1	1705529	7.30922160650763	7.30922160650763
52	chr2L	1710460	1710483	+	3	1710483	360.595585584133	209.253778629828
53	chr2L	1848207	1848208	+	1	1848208	5.77566002886195	5.77566002886195
54	chr2L	1942405	1942411	+	2	1942406	9.24695306461505	6.15918280477931
55	chr2L	1974107	1974108	+	1	1974108	21.0723943832629	21.0723943832629
56	chr2L	1982214	1982215	+	1	1982215	11.5207230274671	11.5207230274671
57	chr2L	2042649	2042663	+	2	2042663	2.71025321151637	1.54798541945008
58	chr2L	2135492	2135493	+	1	2135493	5.39203933188174	5.39203933188174
59	chr2L	2154246	2154247	+	1	2154247	6.54261381066948	6.54261381066948
60	chr2L	2155747	2155751	+	2	2155751	48.5379905910237	46.2196122153526
61	chr2L	2224082	2224095	+	2	2224095	4.25003805190202	3.08777025983574
62	chr2L	2577933	2577934	+	1	2577934	6.15918280477931	6.15918280477931
63	chr2L	2580256	2580260	+	2	2580260	6.5578052450933	4.62447495273345
64	chr2L	2745747	2745760	+	2	2745760	6.9436934916539	4.24051366787441
65	chr2L	2745892	2745896	+	2	2745896	15.0001114009416	9.22445137207965
66	chr2L	2745968	2745969	+	1	2745969	5.00831368017223	5.00831368017223
67	chr2L	2752792	2752798	+	3	2752798	40.2572600020188	27.5572649373172
68	chr2L	2753236	2753237	+	1	2753237	11.5207230274671	11.5207230274671
69	chr2L	2753469	2753473	+	2	2753470	5.4027814599407	4.24051366787441
70	chr2L	2756079	2756115	+	4	2756080	25.7516547849058	14.197493831883
71	chr2L	2756238	2756242	+	2	2756242	11.9346531425512	6.54261381066948
72	chr2L	2756282	2756286	+	2	2756283	3.8666605847197	1.93333029235985
73	chr2L	2756397	2756437	+	5	2756402	17.3472022163174	6.54261381066948
74	chr2L	2756927	2756931	+	2	2756931	6.55994656411176	3.47217630427602
75	chr2L	2757267	2757268	+	1	2757268	15.3440638979909	15.3440638979909
76	chr2L	2757635	2757636	+	1	2757636	9.99009540998002	9.99009540998002
77	chr2L	2763430	2763434	+	2	2763431	3.09597083890017	1.54798541945008
78	chr2L	2766273	2766294	+	3	2766274	13.858467939211	9.60730269598138
79	chr2L	2770137	2770138	+	1	2770138	17.6362391963443	17.6362391963443
80	chr2L	2770164	2770165	+	1	2770165	7.30922160650763	7.30922160650763
81	chr2L	2770188	2770189	+	1	2770189	5.77566002886195	5.77566002886195
82	chr2L	2812076	2812080	+	2	2812080	2.71025321151637	1.54798541945008
83	chr2L	2856084	2856101	+	2	2856101	4.25003805190202	3.08777025983574
84	chr2L	2856638	2856655	+	2	2856639	17.6814723667243	10.7555138954498
85	chr2L	2865285	2865305	+	2	2865305	5.4027814599407	4.24051366787441
86	chr2L	2866570	2866590	+	2	2866571	14.9865527637577	12.6681743880866
87	chr2L	2879111	2879121	+	2	2879121	41.6726868557435	40.5104190636772
88	chr2L	2879162	2879163	+	1	2879163	26.4133467067751	26.4133467067751
89	chr2L	2988111	2988112	+	1	2988112	8.4585628685967	8.4585628685967
90	chr2L	2996310	2996311	+	1	2996311	12.2857368361036	12.2857368361036
91	chr2L	2998230	2998234	+	2	2998234	10.3867191641459	9.22445137207965
92	chr2L	3025128	3025129	+	1	3025129	5.39203933188174	5.39203933188174
