cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm_dom_ctss	tss.num	shape.index	nCTSSs	nTSSs
1	chr2L	71246	71250	+	2	71247	13.8506022004784	8.4585628685967	1	1.03592123519177	2	36
2	chr2L	107909	107918	+	2	107918	7.71041770755284	5.39203933188174	2	1.11870910076931	2	20
3	chr2L	107948	107949	+	1	107949	5.77566002886195	5.77566002886195	3	2	1	15
4	chr2L	112905	112906	+	1	112906	6.92595847127459	6.92595847127459	4	2	1	18
5	chr2L	113449	113470	+	2	113470	3.09559808442614	1.93333029235985	5	1.04556599707504	2	8
6	chr2L	113908	113912	+	2	113909	29.1052503567673	27.5572649373172	6	1.70252775108071	2	76
7	chr2L	132115	132127	+	2	132116	8.85467531932318	7.69240752725689	7	1.4413706265478	2	23
8	chr2L	134238	134239	+	1	134239	21.0723943832629	21.0723943832629	8	2	1	55
9	chr2L	156172	156187	+	3	156173	47.4825482914509	35.179048976551	9	1.03591367166843	3	124
10	chr2L	160485	160504	+	2	160486	8.08822626334088	6.92595847127459	10	1.40832722141767	2	21
11	chr2L	190037	190041	+	2	190041	7.71224521256919	4.62447495273345	11	1.02904940554533	2	20
12	chr2L	200629	200633	+	2	200630	4.63651011613933	2.70317982377949	12	1.02013124334885	2	12
13	chr2L	200777	200778	+	1	200778	6.92595847127459	6.92595847127459	13	2	1	18
14	chr2L	200810	200814	+	2	200811	2.32453558413257	1.16226779206629	14	1	2	6
15	chr2L	203790	203791	+	1	203791	5.77566002886195	5.77566002886195	15	2	1	15
16	chr2L	295830	295850	+	2	295831	2.71025321151637	1.54798541945008	16	1.01477186396575	2	7
17	chr2L	296695	296699	+	2	296699	3.86544761584577	2.70317982377949	17	1.11870910076931	2	10
18	chr2L	297909	297910	+	1	297910	8.84153898526358	8.84153898526358	18	2	1	23
19	chr2L	419940	419949	+	2	419949	102.860576493526	100.542198117854	19	1.84625781967124	2	270
20	chr2L	419975	419979	+	2	419979	837.33375603613	825.813033008663	20	1.88624604269088	3	2218
21	chr2L	420046	420063	+	3	420063	20.3763445561127	10.7555138954498	21	0.642673996536475	4	54
22	chr2L	420285	420289	+	2	420289	25.3347434848061	14.9619117069052	22	1.02397935176339	2	66
23	chr2L	420369	420381	+	2	420370	3.48064616773738	2.3183783756711	23	1.08170416594551	2	9
24	chr2L	540386	540387	+	1	540387	5.39203933188174	5.39203933188174	24	2	1	14
25	chr2L	559647	559651	+	2	559648	3.09559808442614	1.93333029235985	25	1.04556599707504	2	8
26	chr2L	560467	560468	+	1	560468	5.39203933188174	5.39203933188174	26	2	1	14
27	chr2L	569978	569982	+	2	569982	3.48064616773738	2.3183783756711	27	1.08170416594551	2	9
28	chr2L	572665	572666	+	1	572666	5.00831368017223	5.00831368017223	28	2	1	13
29	chr2L	811444	811445	+	1	811445	21.8356786947518	21.8356786947518	29	2	1	57
30	chr2L	816008	816009	+	1	816009	11.90325354315	11.90325354315	30	2	1	31
31	chr2L	819961	819962	+	1	819962	8.07552011196818	8.07552011196818	31	2	1	21
32	chr2L	821535	821547	+	2	821536	3.09559808442614	1.93333029235985	32	1.04556599707504	2	8
33	chr2L	822854	822872	+	2	822855	5.40550659663587	3.47217630427602	33	1.05971404132937	2	14
34	chr2L	823782	823789	+	2	823789	3.09559808442614	1.93333029235985	34	1.04556599707504	2	8
35	chr2L	853231	853232	+	1	853232	7.30922160650763	7.30922160650763	35	2	1	19
36	chr2L	872937	872941	+	2	872941	3.09559808442614	1.93333029235985	36	1.04556599707504	2	8
37	chr2L	1130385	1130389	+	2	1130389	16.8884473217536	15.7261795296873	37	1.64089837435145	2	44
38	chr2L	1143330	1143331	+	1	1143331	9.99009540998002	9.99009540998002	38	2	1	26
39	chr2L	1146050	1146051	+	1	1146051	6.15918280477931	6.15918280477931	39	2	1	16
40	chr2L	1147848	1147849	+	1	1147849	9.22445137207965	9.22445137207965	40	2	1	24
41	chr2L	1150753	1150787	+	4	1150787	13.4967478656264	6.54261381066948	41	0.00667212911652859	5	37
42	chr2L	1184061	1184062	+	1	1184062	13.0505675908449	13.0505675908449	42	2	1	34
43	chr2L	1556480	1556484	+	2	1556484	3.09559808442614	1.93333029235985	43	1.04556599707504	2	8
44	chr2L	1569572	1569598	+	3	1569592	4.25823863096646	1.54798541945008	44	0.427376336104836	3	11
45	chr2L	1695464	1695468	+	2	1695465	4.6367567513422	2.3183783756711	45	1	2	12
46	chr2L	1696851	1696884	+	3	1696884	37.8937213115813	34.7981232271552	46	1.51785388734142	3	99
47	chr2L	1697416	1697417	+	1	1697417	6.15918280477931	6.15918280477931	47	2	1	16
48	chr2L	1697525	1697530	+	2	1697530	3.86636379512118	2.3183783756711	48	1.02904940554533	2	10
49	chr2L	1700569	1700570	+	1	1700570	23.7434486294322	23.7434486294322	49	2	1	62
50	chr2L	1701909	1701910	+	1	1701910	12.2857368361036	12.2857368361036	50	2	1	32
51	chr2L	1705528	1705529	+	1	1705529	7.30922160650763	7.30922160650763	51	2	1	19
52	chr2L	1710460	1710483	+	3	1710483	360.595585584133	209.253778629828	52	0.618561706796367	3	948
53	chr2L	1848207	1848208	+	1	1848208	5.77566002886195	5.77566002886195	53	2	1	15
54	chr2L	1942405	1942411	+	2	1942406	9.24695306461505	6.15918280477931	54	1.08170416594551	2	24
55	chr2L	1974107	1974108	+	1	1974108	21.0723943832629	21.0723943832629	55	2	1	55
56	chr2L	1982214	1982215	+	1	1982215	11.5207230274671	11.5207230274671	56	2	1	30
