coordinates	pi
chr2L:71246:71250	0
chr2L:107909:107918	0
chr2L:107948:107949	0
chr2L:112905:112906	0
chr2L:113449:113470	0
chr2L:113908:113912	0
chr2L:132115:132127	0
chr2L:134238:134239	0
chr2L:156172:156187	0
chr2L:160485:160504	0
chr2L:190037:190041	0
chr2L:200629:200633	0
chr2L:200777:200778	0
chr2L:200810:200814	0
chr2L:203790:203791	0
chr2L:295830:295850	0
chr2L:296695:296699	0
chr2L:297909:297910	0
chr2L:419940:419949	0
chr2L:419975:419979	0
chr2L:420046:420063	0
chr2L:420285:420289	0
chr2L:420369:420381	0
chr2L:540386:540387	0
chr2L:559647:559651	0
chr2L:560467:560468	0
chr2L:569978:569982	0
chr2L:572665:572666	0
chr2L:811444:811445	0
chr2L:816008:816009	0
chr2L:819961:819962	0
chr2L:821535:821547	0
chr2L:822854:822872	0.0225563909774436
chr2L:823782:823789	0
chr2L:853231:853232	0
chr2L:872937:872941	0
chr2L:1130385:1130389	0
chr2L:1143330:1143331	0
chr2L:1146050:1146051	0
chr2L:1147848:1147849	0
chr2L:1150753:1150787	0.00816326530612246
chr2L:1184061:1184062	0
chr2L:1556480:1556484	0
chr2L:1569572:1569598	0
chr2L:1695464:1695468	0
chr2L:1696851:1696884	0
chr2L:1697416:1697417	0
chr2L:1697525:1697530	0
chr2L:1700569:1700570	0
chr2L:1701909:1701910	0
chr2L:1705528:1705529	0
chr2L:1710460:1710483	0
chr2L:1848207:1848208	0
chr2L:1942405:1942411	0.0357142857142857
chr2L:1974107:1974108	0
chr2L:1982214:1982215	0
chr2L:2042649:2042663	0
chr2L:2135492:2135493	0
chr2L:2154246:2154247	0
chr2L:2155747:2155751	0
chr2L:2224082:2224095	0
chr2L:2577933:2577934	0
chr2L:2580256:2580260	0
chr2L:2745747:2745760	0
chr2L:2745892:2745896	0
chr2L:2745968:2745969	0
chr2L:2752792:2752798	0
chr2L:2753236:2753237	0
chr2L:2753469:2753473	0
chr2L:2756079:2756115	0
chr2L:2756238:2756242	0
chr2L:2756282:2756286	0
chr2L:2756397:2756437	0
chr2L:2756927:2756931	0
chr2L:2757267:2757268	0
chr2L:2757635:2757636	0
chr2L:2763430:2763434	0
chr2L:2766273:2766294	0
chr2L:2770137:2770138	0
chr2L:2770164:2770165	0
chr2L:2770188:2770189	0
chr2L:2812076:2812080	0
chr2L:2856084:2856101	0
chr2L:2856638:2856655	0
chr2L:2865285:2865305	0.0119047619047619
chr2L:2866570:2866590	0
chr2L:2879111:2879121	0
chr2L:2879162:2879163	0
chr2L:2988111:2988112	0
chr2L:2996310:2996311	0
chr2L:2998230:2998234	0
chr2L:3025128:3025129	0
chr2L:3030492:3030493	0
chr2L:3030536:3030537	0
chr2L:3067927:3067931	0
chr2L:3160006:3160007	0
chr2L:3161438:3161439	0
chr2L:3453643:3453644	0
chr2L:3473645:3473649	0
chr2L:3478429:3478430	0
chr2L:3547809:3547827	0.0131578947368421
chr2L:3725462:3725463	0
chr2L:3784005:3784009	0.107142857142857
chr2L:3784079:3784080	0
chr2L:4114324:4114325	0
chr2L:4114994:4114995	0
chr2L:4115453:4115454	0
chr2L:4228353:4228361	0
chr2L:4228393:4228406	0
chr2L:4342878:4342893	0.0357142857142857
chr2L:4379596:4379616	0
chr2L:4812998:4813010	0
chr2L:4892187:4892191	0
chr2L:4903800:4903801	0
chr2L:4945573:4945593	0.0255102040816327
chr2L:4973972:4974005	0
chr2L:5011079:5011086	0
chr2L:5011116:5011117	0
chr2L:5011924:5011935	0.0208333333333333
chr2L:5034354:5034363	0
chr2L:5034480:5034481	0
chr2L:5034686:5034687	0
chr2L:5036641:5036660	0
chr2L:5036683:5036690	0
chr2L:5036710:5036711	0
chr2L:5036766:5036777	0
chr2L:5038712:5038716	0
chr2L:5043266:5043267	0
chr2L:5046300:5046321	0.0113636363636364
chr2L:5048089:5048093	0
chr2L:5052858:5052859	0
chr2L:5055892:5055896	0
chr2L:5071234:5071239	0
chr2L:5094052:5094065	0
chr2L:5163122:5163123	0
chr2L:5201724:5201725	0
chr2L:5201970:5201980	0
chr2L:5242706:5242725	0
chr2L:5243098:5243117	0
chr2L:5280631:5280648	0
chr2L:5309094:5309095	0
chr2L:5327781:5327801	0
chr2L:5327857:5327858	0.214285714285714
chr2L:5415819:5415820	0.285714285714286
chr2L:5520295:5520302	0
chr2L:5526945:5526946	0
chr2L:5542555:5542561	0
chr2L:5543300:5543319	0
chr2L:5543576:5543580	0
chr2L:5543621:5543625	0
chr2L:5544031:5544032	0
chr2L:5544147:5544163	0
chr2L:5544227:5544241	0
chr2L:5544264:5544280	0
chr2L:5544375:5544394	0
chr2L:5544648:5544667	0
chr2L:5544702:5544706	0
chr2L:5545457:5545476	0
chr2L:5546036:5546037	0
chr2L:5546069:5546070	0
chr2L:5552005:5552006	0
chr2L:5983121:5983136	0
chr2L:5983171:5983179	0
chr2L:5984123:5984144	0
chr2L:5984173:5984183	0
chr2L:5984206:5984207	0
chr2L:5984272:5984301	0
chr2L:5984338:5984361	0
chr2L:5984784:5984788	0
chr2L:5984880:5984898	0
chr2L:5985110:5985127	0
chr2L:5985423:5985436	0
chr2L:5985504:5985532	0
chr2L:6050834:6050854	0.0119047619047619
chr2L:6051922:6051923	0
chr2L:6052268:6052269	0
chr2L:6052408:6052409	0
