chr	start	end	strand	h_matrix
chr2L	11206	11209	-	0
chr2L	59247	59249	-	0
chr2L	71246	71250	+	0
chr2L	107909	107918	+	0
chr2L	107948	107949	+	0
chr2L	112905	112906	+	0
chr2L	113449	113470	+	0
chr2L	113908	113912	+	0
chr2L	122921	122922	-	0
chr2L	128928	128948	-	0
chr2L	132115	132127	+	0
chr2L	134238	134239	+	0
chr2L	156172	156187	+	0
chr2L	160485	160504	+	0
chr2L	190037	190041	+	0
chr2L	200629	200633	+	0.0158646218931782
chr2L	200777	200778	+	0
chr2L	200810	200814	+	0
chr2L	203790	203791	+	0
chr2L	211014	211017	-	0
chr2L	211825	211831	-	0
chr2L	212056	212076	-	0.00163934426229508
chr2L	212155	212158	-	0
chr2L	212241	212253	-	0
chr2L	212389	212390	-	0
chr2L	212479	212497	-	0
chr2L	212651	212661	-	0
chr2L	212792	212815	-	0
chr2L	212866	212877	-	0
chr2L	212902	212904	-	0
chr2L	227991	227992	-	0
chr2L	238111	238122	-	0
chr2L	238144	238159	-	0
chr2L	271729	271731	-	0
chr2L	275588	275591	-	0
chr2L	285726	285729	-	0
chr2L	295830	295850	+	0
chr2L	296695	296699	+	0
chr2L	297909	297910	+	0
chr2L	408086	408090	-	0
chr2L	409890	409893	-	0
chr2L	419368	419370	-	0
chr2L	419452	419458	-	0
chr2L	419589	419590	-	0
chr2L	419940	419949	+	0
chr2L	419975	419979	+	0
chr2L	420046	420063	+	0
chr2L	420285	420289	+	0
chr2L	420369	420381	+	0
chr2L	450780	450789	-	0
chr2L	453006	453009	-	0
chr2L	540386	540387	+	0
chr2L	542241	542262	-	0
chr2L	542543	542554	-	0
chr2L	542592	542594	-	0
chr2L	542920	542942	-	0
chr2L	543994	544005	-	0.0309985096870343
chr2L	544406	544408	-	0
chr2L	544649	544662	-	0.00256410256410257
chr2L	559647	559651	+	0
chr2L	560467	560468	+	0
chr2L	568072	568073	-	0
chr2L	569978	569982	+	0
chr2L	572665	572666	+	0
chr2L	780916	780919	-	0
chr2L	811444	811445	+	0
chr2L	816008	816009	+	0
chr2L	819961	819962	+	0
chr2L	821535	821547	+	0
chr2L	822854	822872	+	0.00358227079538555
chr2L	823782	823789	+	0
