chr	pos	strand	fly
chr2L	5866	+	5
chr2L	5906	-	2
chr2L	8176	-	2
chr2L	10367	-	1
chr2L	10985	-	5
chr2L	11022	-	1
chr2L	11023	-	4
chr2L	11089	-	1
chr2L	11090	-	1
chr2L	11207	-	6
chr2L	11208	-	3
chr2L	11209	-	10
chr2L	11816	-	4
chr2L	11874	-	1
chr2L	11875	-	1
chr2L	11877	-	1
chr2L	11934	-	1
chr2L	12225	-	1
chr2L	13623	+	1
chr2L	14154	-	2
chr2L	14610	-	2
chr2L	15355	-	2
chr2L	15583	-	1
chr2L	15602	-	2
chr2L	16059	+	4
chr2L	17730	-	1
chr2L	18766	-	2
chr2L	22749	-	4
chr2L	25500	-	1
chr2L	25550	-	1
chr2L	26324	-	2
chr2L	26531	-	1
chr2L	27110	-	2
chr2L	28169	-	1
chr2L	31815	-	1
chr2L	32532	-	3
chr2L	32887	-	1
chr2L	33111	-	3
chr2L	36191	-	3
chr2L	36227	-	1
chr2L	36623	-	1
chr2L	37020	-	2
chr2L	37052	-	1
chr2L	37120	-	1
chr2L	37286	-	1
chr2L	37355	-	1
chr2L	37382	-	3
chr2L	37419	-	2
chr2L	37528	-	2
chr2L	37531	-	1
chr2L	37537	-	2
chr2L	37586	-	3
chr2L	37793	-	2
chr2L	37891	-	2
chr2L	38195	-	1
chr2L	38259	-	1
chr2L	38465	+	1
chr2L	38672	-	1
chr2L	38698	+	1
chr2L	38834	+	1
chr2L	44779	-	1
chr2L	53654	+	1
chr2L	58086	-	1
chr2L	58157	-	2
chr2L	59248	-	3
chr2L	59249	-	3
chr2L	61433	-	1
chr2L	63399	-	2
chr2L	63978	-	2
chr2L	64972	-	1
chr2L	66543	+	2
chr2L	67177	+	1
chr2L	67237	+	3
chr2L	67250	+	2
chr2L	67441	+	2
chr2L	67460	+	2
chr2L	67552	+	2
chr2L	67651	+	1
chr2L	67721	+	4
chr2L	67799	+	1
chr2L	67956	+	1
chr2L	67988	+	1
chr2L	68242	+	2
chr2L	68684	+	1
chr2L	69151	+	1
chr2L	69230	-	2
chr2L	69351	+	1
chr2L	69468	+	1
chr2L	70453	+	1
chr2L	70887	+	5
chr2L	71157	+	2
chr2L	71247	+	22
chr2L	71250	+	14
chr2L	71965	+	1
chr2L	72554	+	2
chr2L	76072	+	2
chr2L	76096	+	2
chr2L	83076	-	2
chr2L	85600	+	1
chr2L	86535	-	1
chr2L	86838	+	1
chr2L	86981	+	1
chr2L	90806	-	1
chr2L	94764	-	2
chr2L	96313	+	1
chr2L	96499	+	1
chr2L	96721	+	2
chr2L	98615	+	2
chr2L	98618	+	7
chr2L	98654	+	6
chr2L	98757	-	1
chr2L	98782	+	1
chr2L	98794	+	1
chr2L	98806	+	2
chr2L	98964	+	2
chr2L	99061	+	1
chr2L	99233	+	8
chr2L	102075	+	1
chr2L	102511	+	2
chr2L	102709	+	2
chr2L	102712	+	1
chr2L	102810	+	6
chr2L	103789	-	4
chr2L	104028	+	3
chr2L	104109	+	2
chr2L	104613	-	1
chr2L	105196	+	3
chr2L	105237	-	1
chr2L	105658	-	1
chr2L	106184	-	5
chr2L	106331	+	2
chr2L	106443	-	1
chr2L	106447	-	1
chr2L	106651	-	1
chr2L	106730	-	1
chr2L	106745	-	6
chr2L	107778	+	1
chr2L	107834	+	2
chr2L	107910	+	6
chr2L	107918	+	14
chr2L	107949	+	15
chr2L	107952	+	1
chr2L	108039	+	6
chr2L	108182	+	2
chr2L	108219	+	1
chr2L	108222	+	6
chr2L	108276	+	2
chr2L	108391	+	1
chr2L	108594	+	1
chr2L	108624	+	3
chr2L	108682	+	2
chr2L	108727	+	9
chr2L	108730	+	2
chr2L	108963	-	1
chr2L	110425	+	7
chr2L	110447	+	2
chr2L	111789	-	1
chr2L	111993	-	1
chr2L	112194	-	1
chr2L	112684	+	1
chr2L	112865	+	1
chr2L	112906	+	18
chr2L	113013	+	2
chr2L	113118	+	1
chr2L	113145	+	3
chr2L	113174	+	3
chr2L	113299	+	1
chr2L	113450	+	3
chr2L	113470	+	5
chr2L	113525	+	1
chr2L	113571	+	1
chr2L	113607	+	3
chr2L	113909	+	72
chr2L	113912	+	4
chr2L	114156	+	1
chr2L	114256	+	2
chr2L	114635	+	3
chr2L	114679	+	1
chr2L	114792	+	5
chr2L	116156	-	1
chr2L	118143	+	1
chr2L	118257	+	1
chr2L	119682	+	1
chr2L	119868	+	1
chr2L	119886	-	3
chr2L	120020	-	3
chr2L	120022	-	1
chr2L	121224	+	4
chr2L	122661	-	1
chr2L	122882	-	1
chr2L	122918	-	1
chr2L	122919	-	2
chr2L	122922	-	47
chr2L	122923	-	2
chr2L	122935	-	2
chr2L	122954	-	9
chr2L	123395	-	3
chr2L	123397	-	1
chr2L	123457	-	2
chr2L	123475	-	1
chr2L	123929	-	2
chr2L	123939	-	1
chr2L	124169	-	1
chr2L	124284	-	2
chr2L	124467	-	1
chr2L	124778	-	2
chr2L	124842	-	1
chr2L	124855	-	3
chr2L	124856	-	1
chr2L	124896	-	1
chr2L	125109	-	7
